Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
FBgn0030514,8668.067747,-0.691688258,0.045096065,-15.33810662,4.25E-53,1.30E-52
FBgn0030512,8104.093757,0.341727929,0.047510274,7.192716492,6.35E-13,1.04E-12
FBgn0030511,900.9019138,1.071286829,0.096262151,11.12884786,9.08E-29,1.98E-28
FBgn0030510,3131.318192,1.736433797,0.089499114,19.40168691,7.47E-84,3.47E-83
FBgn0036964,1542.662746,-0.551629258,0.046472676,-11.86996987,1.70E-32,3.89E-32
FBgn0036967,7156.520802,0.34487712,0.0462091,7.463402665,8.43E-14,1.41E-13
FBgn0000964,2289.469638,0.852123662,0.145804873,5.84427425,5.09E-09,7.65E-09
FBgn0036962,1986.758737,2.989319595,0.143545547,20.82488567,2.58E-96,1.41E-95
FBgn0033431,4467.135433,-0.245591773,0.053831855,-4.562201589,5.06E-06,7.02E-06
FBgn0036969,10219.3686,9.923233165,0.244259697,40.62574905,0,0
FBgn0036440,688.3587022,5.170177495,0.315179797,16.40389879,1.79E-60,6.11E-60
FBgn0267553,84.96361124,3.273306633,1.082530049,3.023755909,0.002496578,0.003153819
FBgn0031608,1680.223604,-1.011692548,0.060424082,-16.74320101,6.35E-63,2.23E-62
FBgn0031609,2837.861405,-0.661545549,0.034949245,-18.9287506,6.61E-80,2.91E-79
FBgn0050287,157.2038041,-4.303142707,0.313178302,-13.74023256,5.83E-43,1.56E-42
FBgn0038052,10408.65307,3.290443335,0.130049343,25.3014991,3.08E-141,2.83E-140
FBgn0034988,2771.056492,0.586009225,0.071621246,8.182058462,2.79E-16,4.89E-16
FBgn0034989,9686.154843,0.095353705,0.038001978,2.509177438,0.012101268,0.014806716
FBgn0010228,15402.15265,-1.022875139,0.105704007,-9.676786792,3.78E-22,7.37E-22
FBgn0040107,295.995244,8.329446778,0.381907911,21.81009228,1.86E-105,1.15E-104
FBgn0010226,32688.9588,0.037229714,0.069905013,0.532575735,0.594327303,0.631565312
FBgn0010225,51073.99503,-1.111059472,0.057921281,-19.18223254,5.21E-82,2.36E-81
FBgn0040104,97.3077301,-0.578910327,0.29565931,-1.958031788,0.050226283,0.059349695
FBgn0034232,1988.558512,-0.712645141,0.083971174,-8.486783115,2.12E-17,3.81E-17
FBgn0010222,5832.157751,-1.137110647,0.15235366,-7.463625405,8.42E-14,1.41E-13
FBgn0034982,4621.203181,-0.196957767,0.057008567,-3.454880154,0.000550537,0.000714094
FBgn0015300,697.334188,1.674443893,0.321310155,5.211300877,1.88E-07,2.70E-07
FBgn0265632,1.012312979,1.588430399,1.356363952,1.171094526,0.241560784,0.269761902
FBgn0044508,15.87790102,-1.162451917,0.228719798,-5.082428049,3.73E-07,5.33E-07
FBgn0265633,67.47929356,0.608521632,0.190532682,3.193791354,0.001404176,0.001791697
FBgn0029501,4311.474249,3.300462522,0.247771394,13.32059555,1.76E-40,4.54E-40
FBgn0267552,22.18629014,0.049643039,0.234543891,0.211657777,0.832374031,0.858847719
FBgn0265631,3.567015502,-4.162063528,1.08121124,-3.8494453,0.000118386,0.00015717
FBgn0037899,14715.62035,0.219047756,0.055634824,3.937241827,8.24E-05,0.000110011
FBgn0037754,1155.175391,2.37950217,0.090780777,26.21152033,1.96E-151,2.01E-150
FBgn0265252,1490.744368,0.666049055,0.057073085,11.67010787,1.81E-31,4.10E-31
FBgn0265253,405.1689388,3.636149008,0.203596407,17.85959325,2.43E-71,9.63E-71
FBgn0265254,51.87112413,-0.779484539,0.131082238,-5.946530579,2.74E-09,4.14E-09
FBgn0265255,219.2919503,2.264212346,0.28279559,8.006533425,1.18E-15,2.04E-15
FBgn0037911,1951.281957,0.056365548,0.06271222,0.89879689,0.368760857,0.403539167
FBgn0265257,437.113507,2.597690966,0.199398384,13.02764302,8.52E-39,2.15E-38
FBgn0085771,59.47305008,-1.853771295,0.147028215,-12.60826909,1.90E-36,4.61E-36
FBgn0037756,12789.49794,-0.903275669,0.059011259,-15.30683606,6.88E-53,2.10E-52
FBgn0037757,5815.122232,-0.669737446,0.041359442,-16.19309694,5.64E-59,1.88E-58
FBgn0031515,6247.792415,-1.909320938,0.112875154,-16.915334,3.47E-64,1.24E-63
FBgn0262029,2338.714339,-5.373344019,0.109033383,-49.28164075,0,0
FBgn0033661,7255.587346,-0.423263471,0.090601648,-4.671697275,2.99E-06,4.17E-06
FBgn0051739,10786.72084,-0.243087489,0.043124199,-5.636916034,1.73E-08,2.57E-08
FBgn0051730,728.2270399,4.861601539,0.146089835,33.27816443,7.99E-243,1.77E-241
FBgn0051735,1635.232277,3.040147841,0.292898985,10.37950965,3.07E-25,6.32E-25
FBgn0051224,14772.74241,-1.031076216,0.047132726,-21.87601474,4.40E-106,2.73E-105
FBgn0051225,0.649247819,1.050823539,2.235438132,0.470074982,0.638301448,0.674686521
FBgn0051226,14558.90408,4.492137023,0.205169095,21.89480356,2.91E-106,1.81E-105
FBgn0040751,1209.88195,1.027234513,0.07529981,13.64192695,2.26E-42,5.97E-42
FBgn0051220,49.66773606,3.674756025,0.327754004,11.21193328,3.56E-29,7.80E-29
FBgn0051221,5117.765167,3.021892497,0.073377152,41.18301687,0,0
FBgn0043900,11846.93604,-0.248654118,0.055745878,-4.460493346,8.18E-06,1.13E-05
FBgn0051223,1102.505609,-0.996855712,0.074758385,-13.33436667,1.46E-40,3.78E-40
FBgn0037181,4820.904233,-11.281043,0.516465429,-21.84278437,9.10E-106,5.63E-105
FBgn0037180,127.5872612,3.176342993,0.238233703,13.33288679,1.49E-40,3.85E-40
FBgn0039868,2432.358416,-0.377311084,0.072399143,-5.211540737,1.87E-07,2.70E-07
FBgn0037182,10384.53747,-0.265382215,0.035813903,-7.410033346,1.26E-13,2.11E-13
FBgn0037185,2372.249931,0.063154616,0.075028385,0.841742975,0.399931837,0.435252885
FBgn0051229,2107.732989,0.572228485,0.05357022,10.68183946,1.24E-26,2.61E-26
FBgn0026570,1080.187682,0.400943522,0.055191885,7.264537534,3.74E-13,6.18E-13
FBgn0037186,5047.753809,-0.542890452,0.081490102,-6.662041665,2.70E-11,4.29E-11
FBgn0260855,9420.273413,-0.403185686,0.042969372,-9.383094712,6.41E-21,1.22E-20
FBgn0260857,2683.989571,-0.16775205,0.073520094,-2.281717021,0.022506053,0.027159478
FBgn0260856,1419.443801,-0.180456654,0.053477652,-3.374431133,0.000739684,0.000954618
FBgn0000346,6221.694942,2.386242494,0.090501432,26.36690316,3.29E-153,3.43E-152
FBgn0260859,3325.399386,-0.561829502,0.043457855,-12.92814606,3.12E-38,7.80E-38
FBgn0260858,5545.046118,-0.691868801,0.037209168,-18.59404133,3.59E-77,1.54E-76
FBgn0039439,9.206723776,-3.008311889,0.581005404,-5.177769205,2.25E-07,3.23E-07
FBgn0039438,101.87125,-4.419581109,0.460926807,-9.588466206,8.94E-22,1.73E-21
FBgn0085512,2.781362403,0.976465191,0.393491445,2.481541095,0.013081563,0.01597822
FBgn0032612,403.459725,3.037976326,0.084249051,36.05947234,9.80E-285,2.91E-283
FBgn0039431,2316.811498,-1.566766021,0.058694146,-26.69373566,5.56E-157,6.02E-156
FBgn0039430,10085.75774,1.49473963,0.069281489,21.5748774,3.09E-103,1.86E-102
FBgn0039437,53.4368471,-1.433142641,0.270869274,-5.29090148,1.22E-07,1.77E-07
FBgn0039436,8.352089036,-1.1900048,0.707595558,-1.681758437,0.092615691,0.107392439
FBgn0039435,50.58075243,-1.008948153,0.412899682,-2.44356728,0.014542858,0.01772471
FBgn0039434,37.27653252,-2.229828482,0.459905461,-4.848449674,1.24E-06,1.75E-06
FBgn0263383,52.40923956,0.647947262,0.236759757,2.736728865,0.006205341,0.007714105
FBgn0032110,1358.516477,4.665298113,0.153008881,30.49037464,3.50E-204,5.64E-203
FBgn0275433,11.47593467,3.128888293,0.308517143,10.14169994,3.61E-24,7.28E-24
FBgn0275432,78.54603457,3.690810699,0.219136211,16.84254138,1.19E-63,4.22E-63
FBgn0032115,933.2507341,2.223482095,0.173527352,12.81343874,1.38E-37,3.41E-37
FBgn0275434,26.61269045,2.430040672,0.478762318,5.075672375,3.86E-07,5.52E-07
FBgn0032117,3864.201074,2.100822898,0.084465163,24.87206337,1.49E-136,1.30E-135
FBgn0032116,2263.756322,2.470348112,0.10064872,24.54425753,4.98E-133,4.15E-132
FBgn0032119,28.90486729,1.613255765,0.258115908,6.25012142,4.10E-10,6.34E-10
FBgn0026879,12063.29758,-0.94412398,0.054646931,-17.27679789,7.03E-67,2.61E-66
FBgn0036258,24047.44442,-0.659418067,0.044645033,-14.77024488,2.28E-49,6.64E-49
FBgn0265649,6.900002421,6.295781858,0.581966781,10.81811207,2.83E-27,6.01E-27
FBgn0265648,2652.348592,3.363058563,0.222675456,15.10296028,1.55E-51,4.65E-51
FBgn0037765,4921.950006,5.526638783,0.197006935,28.05301639,3.67E-173,4.60E-172
FBgn0037764,2792.087594,7.238290865,0.211502319,34.22322217,1.09E-256,2.67E-255
FBgn0265645,5.097427174,3.040543727,0.712898416,4.265044861,2.00E-05,2.72E-05
FBgn0037766,502.6993892,2.937584643,0.108523951,27.06853757,2.31E-161,2.59E-160
FBgn0265643,0.522581931,1.358557081,1.52155288,0.892875363,0.371923922,0.406593417
FBgn0037760,12989.92313,-1.302482992,0.049574986,-26.2729874,3.90E-152,4.02E-151
FBgn0037763,23026.415,7.722553609,0.104859732,73.64651309,0,0
FBgn0037762,1834.271693,5.158093297,0.352710036,14.62417503,1.97E-48,5.67E-48
FBgn0039511,8183.595903,4.069766788,0.235555543,17.27731274,6.97E-67,2.58E-66
FBgn0038246,939.4996112,1.811498386,0.083818629,21.6121214,1.38E-103,8.33E-103
FBgn0036259,224.6730125,1.483967967,0.170962154,8.680096345,3.95E-18,7.19E-18
FBgn0024913,1039.704314,1.341076235,0.101712907,13.18491693,1.07E-39,2.74E-39
FBgn0036586,2.291415379,2.408247478,1.122708799,2.145033049,0.031950205,0.038237032
FBgn0036587,2369.348518,-1.088465399,0.100160794,-10.86718025,1.65E-27,3.52E-27
FBgn0036584,19.45052605,1.816090044,0.303924163,5.975471065,2.29E-09,3.48E-09
FBgn0036585,9.941476214,1.841053748,0.466742397,3.944475065,8.00E-05,0.000106784
FBgn0011239,1034.493989,3.483641438,0.148009469,23.53661198,1.72E-122,1.27E-121
FBgn0036583,50.0059634,0.415606072,0.264469888,1.5714684,0.116073889,0.13357473
FBgn0036580,5241.648665,-0.811861595,0.060120753,-13.50384939,1.48E-41,3.89E-41
FBgn0036581,2902.846961,-0.369991021,0.059183307,-6.251611127,4.06E-10,6.28E-10
FBgn0036595,89.92106799,-5.666954107,0.402310811,-14.08601,4.63E-45,1.27E-44
FBgn0036588,26.93866435,1.27351894,0.287678172,4.426887635,9.56E-06,1.31E-05
FBgn0036589,1087.84293,-0.303247231,0.162810086,-1.862582583,0.062521017,0.073396609
FBgn0032805,753.7625647,-2.243425709,0.088470158,-25.35799368,7.34E-142,6.82E-141
FBgn0032804,7.233055448,-1.907973931,0.579751974,-3.291017567,0.000998257,0.001281327
FBgn0032803,892.665228,-0.961456502,0.206194958,-4.662851653,3.12E-06,4.35E-06
FBgn0032801,2131.338878,2.169770619,0.089851377,24.14844049,7.75E-129,6.14E-128
FBgn0032800,1030.315067,0.966692754,0.057460523,16.82359815,1.64E-63,5.80E-63
FBgn0032809,44.80992533,-2.25587088,0.298907342,-7.547057444,4.45E-14,7.50E-14
FBgn0050178,729.1279053,3.402281631,0.10927053,31.13631488,7.77E-213,1.35E-211
FBgn0050172,448.3214908,0.017555082,0.091741249,0.191354299,0.848248023,0.873782912
FBgn0053642,2.56299276,0.744689958,0.954562282,0.780137632,0.435309868,0.471671109
FBgn0050177,2273.006654,3.637745874,0.222216779,16.37025739,3.12E-60,1.06E-59
FBgn0263316,3848.263204,0.815022848,0.08692823,9.375813171,6.86E-21,1.31E-20
FBgn0263314,53.47602808,-1.027974478,0.269342562,-3.816606148,0.0001353,0.000179299
FBgn0020509,6008.758993,10.72975788,0.337788628,31.76471023,1.99E-221,3.71E-220
FBgn0020508,14232.2137,-3.773737337,0.151249253,-24.95045269,2.11E-137,1.85E-136
FBgn0020506,14547.17701,-2.838749356,0.228224538,-12.43840555,1.62E-35,3.87E-35
FBgn0020503,28918.10188,1.821553242,0.041562502,43.82684254,0,0
FBgn0052203,2347.483908,12.19688863,0.379797408,32.11419658,2.79E-226,5.45E-225
FBgn0033437,3836.506437,-1.823929973,0.058201148,-31.338385,1.40E-215,2.50E-214
FBgn0030466,3208.632592,-1.71339537,0.05969445,-28.70275825,3.52E-181,4.73E-180
FBgn0051267,1221.712537,1.040493683,0.143670312,7.242231683,4.41E-13,7.27E-13
FBgn0031715,219.9788404,0.771152652,0.167924281,4.592264132,4.38E-06,6.09E-06
FBgn0052201,723.1850659,7.913755564,0.452232286,17.49931576,1.45E-68,5.51E-68
FBgn0265500,79.02556641,2.431697929,0.246595043,9.86109818,6.14E-23,1.21E-22
FBgn0053673,110.3482473,1.090218236,0.166405393,6.551579945,5.69E-11,8.96E-11
FBgn0053859,4.542704413,1.226523302,0.395655056,3.099981365,0.001935328,0.00245546
FBgn0053858,69.37459564,-0.443871806,0.359244074,-1.235571686,0.216617815,0.242946514
FBgn0032873,2793.604227,-0.515218544,0.047043937,-10.95185866,6.51E-28,1.40E-27
FBgn0053855,44.16908087,-0.357478705,0.381680947,-0.936590383,0.348969301,0.3828394
FBgn0053854,0.212973837,-1.616576918,1.330181042,-1.215305937,0.224249428,0.251086989
FBgn0053857,0.227217186,-1.525242337,1.233709812,-1.23630559,0.216344994,0.242671664
FBgn0053856,3.363568364,1.085776941,0.457268654,2.374483647,0.017573515,0.021326288
FBgn0053851,0.010649504,-0.19617701,3.999944614,-0.049044932,0.960883489,0.969537164
